municipio;aprovechamiento viable (sí/no);calidad del agua urbana - irca (%);cobertura acueducto rural (%);cobertura acueducto urbano (%);cobertura alcantarillado rural (%);cobertura alcantarillado urbano (%);cobertura aseo rural (%);cobertura aseo urbano (%);continuidad acueducto urbano (hora/día);disposición final adecuada (sí/no);población rural (número de habitantes);población urbana (número de habitantes);porcentaje de aguas residuales tratadas (%);porcentaje de aprovechamiento (%)
SEGOVIA;NO;0,0000;13,7;76,8;0;25;37,5;100;18;si;6881;33726;0;0
SONSON;Si;0,0050;0,33;99.08%;0.22%;0,96;0,06;98.73%;23.9/7;Si;18838;17787;0,98;0,3
SOPETRAN;NO;0,0000;36,43;68,98;4,63;68,98;40;98;24;SI;8332;7617;0;0
TAMESIS;Si;0,0000;0,95;98;0;0,93;0,4;100;24;Si;8502;8465;0,65;0,428
TARAZA;NO;0,0200;0,8;98.7%;0,39;0,87;0,92;1;22(hora día);SI;13939;14354;0;0
TARSO;si;0,0000;43;98.9;0;98,9;23,4;1;24;si;2684;3826;100;0,25
TITIRIBI;Sí;0,0000;51,3;100;33,8;89,55;38,8;100;24;Sí;5713;5651;21;24,24
TOLEDO;si;0,1139;8.83;100;8.83;99;4.64;100;24;si;3517;1495;65;88.09
TURBO;SI;0,0500;0,4;0,8;0,55;0,5;0,7;1;14;SI;75765;56787;0;0
URAMITA;SI;0,0262;33;100;2.4;52;0;100;24/7;SI;4850;2100;0;3.33
URRAO;SI;0,0104;43,2;98,81;32;98,95;0,6;99,18;23,92;Si;13769;18945;37;53,6
VALDIVIA;SI;0,0074;0,7;1;0,2;0,8;0,5;1;23 horas;NO;11287;4317;0;0,2
VALPARAISO;SI;0,0000;1;1;0;0,895;0,05;0,988;24/día;SI;2673;4243;0,9;0,45
VEGACHI;Si;0,0000;24;99;11;99;10;99;24/7;Si;3766;8789;14;15
VENECIA;si;0,0000;100;100;90.26;86.01;70;100;24;SI;4764;11552;45;10
VIGIA DEL FUERTE;NO;0,2100;0%;70;0;0;0;80;3;NO;5924;3828;0;0
YALI;Si;0,0000;30,42;100;0;90;0;100;24/7;Si;3468;3577;100;0,02
YARUMAL;Sí;0,0021;0%;0,987;0;0,9581;0,571;1;23,8;Sí;11451;32,33;0;0,39
YONDO;Sí;0,0300;0,71;0,994;0,39;0,99;0,92;1;18;Sí;9222;11505;0,15;0,08
ZARAGOZA;SI;0,0700;18;85;18;80;27;100;10;NO;16760;13978;0;30
